event_id,title,city,city_slug,icao,lat,lon,unit,timezone,target_date,resolved_temp,bucket_label
126707,Highest temperature in NYC on December 29?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-29,48.0,48+
124726,Highest temperature in NYC on December 28?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-28,36.0,36-37
122885,Highest temperature in NYC on December 27?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-27,30.0,30-31
120991,Highest temperature in NYC on December 26?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-26,28.0,28-29
118968,Highest temperature in NYC on December 25?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-25,44.0,44+
117024,Highest temperature in NYC on December 24?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-24,44.0,44-45
115148,Highest temperature in NYC on December 23?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-23,40.0,40-41
113263,Highest temperature in NYC on December 22?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-22,38.0,38-39
111422,Highest temperature in NYC on December 21?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-21,44.0,44-45
109540,Highest temperature in NYC on December 20?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-20,38.0,38+
107335,Highest temperature in NYC on December 19?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-19,58.0,58-59
106530,Highest temperature in NYC on December 18?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-18,50.0,50+
106070,Highest temperature in NYC on December 17?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-17,48.0,48+
105889,Highest temperature in NYC on December 16?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-16,33.0,33-
105063,Highest temperature in NYC on December 15?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-15,28.0,28-29
104238,Highest temperature in NYC on December 14?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-14,34.0,34-35
102352,Highest temperature in NYC on December 13?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-13,40.0,40-41
101609,Highest temperature in NYC on December 12?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-12,35.0,35-36
101029,Highest temperature in NYC on December 11?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-11,40.0,40-41
99870,Highest temperature in NYC on December 10?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-10,46.0,46-47
98011,Highest temperature in NYC on December 7?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-07,42.0,42-43
98020,Highest temperature in NYC on December 9?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-09,35.0,35-36
98017,Highest temperature in NYC on December 8?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-08,37.0,37+
97218,Highest temperature in NYC on December 6?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-06,42.0,42-43
96521,Highest temperature in NYC on December 5?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-05,31.0,31-32
95997,Highest temperature in NYC on December 4?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-04,43.0,43-44
94806,Highest temperature in NYC on December 3?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-03,41.0,41-42
92471,Highest temperature in NYC on December 2?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-02,41.0,41-42
92469,Highest temperature in NYC on December 1?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-01,43.0,43-44
92466,Highest temperature in NYC on November 30?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-30,47.0,47-48
91863,Highest temperature in NYC on November 29?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-29,43.0,43-44
91083,Highest temperature in NYC on November 28?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-28,43.0,43-44
89952,Highest temperature in NYC on November 27?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-27,47.0,47-48
89169,Highest temperature in NYC on November 26?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-26,59.0,59-60
86945,Highest temperature in NYC on November 25?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-25,56.0,56-57
86943,Highest temperature in NYC on November 24?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-24,51.0,51-52
86940,Highest temperature in NYC on November 23?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-23,49.0,49-50
86308,Highest temperature in NYC on November 22?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-22,51.0,51-52
85451,Highest temperature in NYC on November 21?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-21,51.0,51-52
84556,Highest temperature in NYC on November 20?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-20,47.0,47-48
83673,Highest temperature in NYC on November 19?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-19,47.0,47-48
81519,Highest temperature in NYC on November 17?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-17,44.0,44-45
81517,Highest temperature in NYC on November 16?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-16,55.0,55-56
