resolved_at,target_date,city,station_icao,bucket,side,entry_price,size_usd,ev_per_bet,spread_colour,det_spread,model_values_json,actual_temp,outcome,pnl_usd,miss_distance,signal_timestamp,strategy
2026-03-05T10:00:04.061178+00:00,2026-03-04,Seattle,KSEA,48-49,BUY_YES,0.0795,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T12:07:25.278636+00:00,TOP2_COND
2026-03-05T10:00:04.061319+00:00,2026-03-04,Miami,KMIA,80-81,BUY_YES,0.29500000000000004,16.2,0.0,,,{},81,WIN,38.7153,,2026-03-03T12:30:28.736846+00:00,TOP2_COND
2026-03-05T10:00:04.061434+00:00,2026-03-04,Seattle,KSEA,56-57,BUY_YES,0.11000000000000001,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T12:30:28.739595+00:00,TOP2_COND
2026-03-05T10:00:04.061535+00:00,2026-03-04,Seattle,KSEA,54-55,BUY_YES,0.22999999999999998,14.6,0.0,,,{},52,LOSS,-14.6,,2026-03-03T12:44:11.687143+00:00,TOP2_COND
2026-03-05T10:00:04.061636+00:00,2026-03-04,Miami,KMIA,82-83,BUY_YES,0.28500000000000003,10.07,0.0,,,{},81,LOSS,-10.07,,2026-03-03T13:00:14.203880+00:00,TOP2_COND
2026-03-05T10:00:04.062086+00:00,2026-03-04,Miami,KMIA,84-85,BUY_YES,0.11499999999999999,5.0,0.0,,,{},81,LOSS,-5.0,,2026-03-03T13:00:14.206354+00:00,TOP2_COND
2026-03-05T10:00:04.062257+00:00,2026-03-04,Seoul,RKSI,10+,BUY_YES,0.135,14.69,0.0,,,{},9,LOSS,-14.69,,2026-03-03T13:31:01.489947+00:00,TOP2_COND
2026-03-05T10:00:04.062414+00:00,2026-03-04,NYC,KLGA,46-47,BUY_YES,0.24,5.0,0.0,,,{},50,LOSS,-5.0,,2026-03-03T18:30:18.388571+00:00,TOP2_COND
2026-03-05T10:00:04.062528+00:00,2026-03-04,Chicago,KORD,50+,BUY_YES,0.20500000000000002,6.49,0.0,,,{},46,LOSS,-6.49,,2026-03-03T18:30:18.389845+00:00,TOP2_COND
2026-03-05T10:00:04.062641+00:00,2026-03-04,Miami,KMIA,78-79,BUY_YES,0.15500000000000003,7.5200000000000005,0.0,,,{},81,LOSS,-7.52,,2026-03-03T18:30:18.391248+00:00,TOP2_COND
2026-03-05T10:00:04.062775+00:00,2026-03-04,Seattle,KSEA,52-53,BUY_YES,0.4050000000000001,5.0,0.0,,,{},52,WIN,7.3457,,2026-03-03T18:30:18.392755+00:00,TOP2_COND
2026-03-05T10:00:04.062902+00:00,2026-03-04,Chicago,KORD,44-45,BUY_YES,0.11000000000000001,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-03T19:01:07.190174+00:00,TOP2_COND
2026-03-05T10:00:04.063015+00:00,2026-03-04,Chicago,KORD,46-47,BUY_YES,0.22000000000000003,5.0,0.0,,,{},46,WIN,17.7273,,2026-03-03T19:01:07.191627+00:00,TOP2_COND
2026-03-05T10:00:04.063138+00:00,2026-03-04,Ankara,LTAC,10+,BUY_YES,0.05500000000000001,5.0,0.0,,,{},10,WIN,85.9091,,2026-03-03T19:01:07.193390+00:00,TOP2_COND
2026-03-05T10:00:04.063251+00:00,2026-03-04,Seattle,KSEA,50-51,BUY_YES,0.15000000000000002,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-04T06:10:45.002484+00:00,TOP2_COND
2026-03-05T10:00:04.063397+00:00,2026-03-04,NYC,KLGA,44-45,BUY_YES,0.1255,5.0,0.0,,,{},50,LOSS,-5.0,,2026-03-04T06:13:06.733781+00:00,TOP2_COND
2026-03-05T10:00:04.063523+00:00,2026-03-04,Chicago,KORD,48-49,BUY_YES,0.11000000000000001,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-04T06:40:32.970764+00:00,TOP2_COND
2026-03-05T10:00:04.063643+00:00,2026-03-04,Seattle,KSEA,48-49,BUY_YES,0.0795,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T12:07:25.284880+00:00,TOP2_PROP
2026-03-05T10:00:04.063782+00:00,2026-03-04,Miami,KMIA,80-81,BUY_YES,0.29500000000000004,16.2,0.0,,,{},81,WIN,38.7153,,2026-03-03T12:30:28.745240+00:00,TOP2_PROP
2026-03-05T10:00:04.063902+00:00,2026-03-04,Seattle,KSEA,56-57,BUY_YES,0.11000000000000001,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T12:30:28.748069+00:00,TOP2_PROP
2026-03-05T10:00:04.064312+00:00,2026-03-04,Seattle,KSEA,54-55,BUY_YES,0.22999999999999998,14.6,0.0,,,{},52,LOSS,-14.6,,2026-03-03T12:44:11.689900+00:00,TOP2_PROP
2026-03-05T10:00:04.064537+00:00,2026-03-04,Miami,KMIA,82-83,BUY_YES,0.28500000000000003,10.07,0.0,,,{},81,LOSS,-10.07,,2026-03-03T13:00:14.213589+00:00,TOP2_PROP
2026-03-05T10:00:04.065051+00:00,2026-03-04,Miami,KMIA,84-85,BUY_YES,0.11499999999999999,5.0,0.0,,,{},81,LOSS,-5.0,,2026-03-03T13:00:14.214965+00:00,TOP2_PROP
2026-03-05T10:00:04.065263+00:00,2026-03-04,Seoul,RKSI,10+,BUY_YES,0.135,14.69,0.0,,,{},9,LOSS,-14.69,,2026-03-03T13:31:01.497966+00:00,TOP2_PROP
2026-03-05T10:00:04.065449+00:00,2026-03-04,NYC,KLGA,46-47,BUY_YES,0.24,5.0,0.0,,,{},50,LOSS,-5.0,,2026-03-03T18:30:18.399345+00:00,TOP2_PROP
2026-03-05T10:00:04.065566+00:00,2026-03-04,Chicago,KORD,50+,BUY_YES,0.20500000000000002,6.49,0.0,,,{},46,LOSS,-6.49,,2026-03-03T18:30:18.400839+00:00,TOP2_PROP
2026-03-05T10:00:04.065680+00:00,2026-03-04,Miami,KMIA,78-79,BUY_YES,0.15500000000000003,7.5200000000000005,0.0,,,{},81,LOSS,-7.52,,2026-03-03T18:30:18.402372+00:00,TOP2_PROP
2026-03-05T10:00:04.065836+00:00,2026-03-04,Seattle,KSEA,52-53,BUY_YES,0.4050000000000001,5.0,0.0,,,{},52,WIN,7.3457,,2026-03-03T18:30:18.403863+00:00,TOP2_PROP
2026-03-05T10:00:04.066455+00:00,2026-03-04,Chicago,KORD,44-45,BUY_YES,0.11000000000000001,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-03T19:01:07.198575+00:00,TOP2_PROP
2026-03-05T10:00:04.066637+00:00,2026-03-04,Chicago,KORD,46-47,BUY_YES,0.22000000000000003,5.0,0.0,,,{},46,WIN,17.7273,,2026-03-03T19:01:07.200235+00:00,TOP2_PROP
2026-03-05T10:00:04.067193+00:00,2026-03-04,Ankara,LTAC,10+,BUY_YES,0.05500000000000001,5.0,0.0,,,{},10,WIN,85.9091,,2026-03-03T19:01:07.201780+00:00,TOP2_PROP
2026-03-05T10:00:04.069818+00:00,2026-03-04,Seattle,KSEA,50-51,BUY_YES,0.15000000000000002,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-04T06:10:45.019333+00:00,TOP2_PROP
2026-03-05T10:00:04.070064+00:00,2026-03-04,NYC,KLGA,44-45,BUY_YES,0.1255,5.0,0.0,,,{},50,LOSS,-5.0,,2026-03-04T06:13:06.737507+00:00,TOP2_PROP
2026-03-05T10:00:04.070212+00:00,2026-03-04,Chicago,KORD,48-49,BUY_YES,0.11000000000000001,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-04T06:40:32.980658+00:00,TOP2_PROP
